username	time	date	city	tweet	flixbus	bahn	blablacar	country
sport____	14:48:25	18.11.2017		Drittliga-Spiel verschoben | Bahn fuhr Fußball-Fans in falsche Richtung! - BILD https://t.co/4KnunIJrfz	0	1	0	Köln
dyeuspather	14:48:43	18.11.2017		@realJuergen_RU wenn juqqt das wann pisst du wieder auf bahn broschüren oder schreibst irgendwas mit nem kulli auf dein dick	0	1	0	
_missbeliever	14:49:27	18.11.2017		"ich hoffe so sehr, dass die bahn nachher püntklich ist.
wir haben zwar 13 minuten zum umsteigen, aber die deutsche… https://t.co/57ZkvuTXq6"	0	1	0	she/they
AnnieSagt	14:49:51	18.11.2017	Rheine	"Kleiner Junge in der Bahn: ""Mama, was sind Wolken? Ist das die Schutzschicht, die uns vor Meteoriten oder Lasern au… https://t.co/IANl8D3NCS"	0	1	0	 Germany
Flame_1221	14:49:51	18.11.2017	Rheinland-Pfalz	Ich glaube das stressigste was ich je erlebt habe ist die online Verspätungsanzeige von der DB die springt die ganze zeit hin und her xD	0	1	0	 Deutschland
AnorakFrankfurt	14:49:56	18.11.2017	Frankfurt am Main	RT @FRlokal: Nahverkehr in #Frankfurt: Zwei U-Bahn-Linien fahren künftig nachts. https://t.co/7JZ4gFGXBp	0	1	0	 Deutschland
erixxinfo	14:50:03	18.11.2017		Zug 83722 von Hannover Hbf nach Buchholz(Nordheide) verkehrt heute mit 12 min Verspätung ab Walsrode (planmäßige Abfahrt 14:36). Grund:	0	1	0	
hdmuc	14:50:19	18.11.2017		RT @anna_IIna: Zwei Promille: 35-jähriger Asylwerber bespuckt DB-Mitarbeiter und schlägt Bundespolizisten gegen den Kopf. Kurze Ge… 	0	1	0	
maerz2000	14:50:21	18.11.2017		"Güter gehören auf die Bahn.
Straßen gehören zurückgebaut.
Radwege gehören ausgebaut!

https://t.co/leIgD3IFAg https://t.co/fY6tj7Tnkz"	0	1	0	NRW
erixxinfo	14:52:03	18.11.2017		Zug 83722 von Hannover Hbf nach Buchholz(Nordheide) verkehrt heute mit 12 min Verspätung ab Walsrode (planmäßige Abfahrt 14:37). Grund:	0	1	0	
nordwestnews24	14:52:13	18.11.2017	Bremen	#erixxinfo: Zug 83722 von Hannover Hbf nach Buchholz(Nordheide) verkehrt heute mit 12 min Verspätung ab Walsrode (p… https://t.co/XoUZBN4Uct	0	1	0	 Deutschland
nordwestnews24	14:52:14	18.11.2017	Bremen	#erixxinfo: Zug 83722 von Hannover Hbf nach Buchholz(Nordheide) verkehrt heute mit 12 min Verspätung ab Walsrode (p… https://t.co/YhJG7R101m	0	1	0	 Deutschland
otto5699	14:52:23	18.11.2017		RT @ellibisathide: Kenn ich auch so, nachts Büroräume geputzt, an Wochenenden als Küchenhilfe bei der DB mitgefahren, in den Semesterf… 	0	1	0	Moskau
SO_BerlinCoach	14:52:27	18.11.2017	Berlin	Check this out https://t.co/HC4SZFpnuz Life Coaching Berlin - Mein Zug der Liebe	0	1	0	 Deutschland
artepmobil	14:52:54	18.11.2017		RT @Korrektheiten: Unzensuriert:Brutaler Übergriff ausländischer Jugendlicher in Wiener U-Bahn - 18-Jährige als Retterin: U-Bahn Foto:… htt…	0	1	0	? und GAB.ai
erixxinfo	14:53:03	18.11.2017		Zug 83720 von Hannover Hbf nach Buchholz(Nordheide) verkehrt heute mit 19 min Verspätung ab Handeloh (planmäßige Abfahrt 14:29). Grund:	0	1	0	
MSorghum	14:53:49	18.11.2017		Schwierige Frage: Handy vom Ohr nehmen und schneller laufen können oder Bahn verpassen? Der junge Mann hat sich für… https://t.co/BlUboVsXhW	0	1	0	Castrop-Rauxel
FrauZeitlos	14:53:50	18.11.2017		RT @JensAusBochum: Das ist ÖPNV im #Ruhrgebiet - wenn man fast schneller mit dem Fahrrad für eine längere Strecke als mit der Bahn ist… 	0	1	0	Bochum
metronom4me	14:54:02	18.11.2017		81624 Lüneburg → Hamburg Hbf hat in Bardowick (planmäßig 14:38) +15 min. Grund: Überholung durch einen anderen Zug .	0	1	0	Uelzen, Niedersachsen, Germany
Twinterbi	14:54:20	18.11.2017		RT @anna_IIna: Zwei Promille: 35-jähriger Asylwerber bespuckt DB-Mitarbeiter und schlägt Bundespolizisten gegen den Kopf. Kurze Ge… 	0	1	0	
M_Marschall1	14:54:54	18.11.2017	Leverkusen	Neben Bayer-Fans, begleiteten den Zug Menschen aller Altersklassen, die immer wieder ihre Meinung lautstark riefen… https://t.co/7Hu0hmYVJz	0	1	0	 Nordrhein-Westfale
BaranEmelie	14:55:00	18.11.2017		RT @DerSPIEGEL: Der neue SPIEGEL ist da! Einige der Themen: Erdogan-Kritiker in Deutschland, Flixbus - das Transportmittel der Besc… 	1	0	0	       -       Germany     -
